Wildcard,File,XPATH
@@CALIBDATE@@,NewCalibFile,/Simulation/Params/EffectiveDate|/Simulation/Params/effective_date
@@OLDDATE@@,OldCalibFile,/Simulation/Params/EffectiveDate|/Simulation/Params/effective_date
@@OLDHWALPHAS@@,OldCalibFile,//Model[Name='AUYieldCurve']//MeanReversionShortRate|//Model[Name='AUYieldCurve']//mean_reversion_shortRate
@@OLDHWALPHAA@@,OldCalibFile,//Model[Name='AUYieldCurve']//MeanReversionAdditionalParam|//Model[Name='AUYieldCurve']//mean_reversion_additional_param
@@OLDHWSIGMAS@@,OldCalibFile,//Model[Name='AUYieldCurve']//VolatilityShortRate|//Model[Name='AUYieldCurve']//Volatility_short_rate
@@OLDHWSIGMAA@@,OldCalibFile,//Model[Name='AUYieldCurve']//VolatilityAdditionalParam|//Model[Name='AUYieldCurve']//volatility_additional_param
@@OLDHWGAMMA@@,OldCalibFile,//Model[Name='AUYieldCurve']//MarketPriceOfRisk|//Model[Name='AUYieldCurve']//market_price_of_risk
@@NEWHWALPHAs@@,NewCalibFile,//Model[Name='AUYieldCurve']//MeanReversionShortRate|//Model[Name='AUYieldCurve']//mean_reversion_shortRate
@@NEWHWALPHAA@@,NewCalibFile,//Model[Name='AUYieldCurve']//MeanReversionAdditionalParam|//Model[Name='AUYieldCurve']//mean_reversion_additional_param
@@NEWHWSIGMAS@@,NewCalibFile,//Model[Name='AUYieldCurve']//VolatilityShortRate|//Model[Name='AUYieldCurve']//Volatility_short_rate
@@NEWHWSIGMAA@@,NewCalibFile,//Model[Name='AUYieldCurve']//VolatilityAdditionalParam|//Model[Name='AUYieldCurve']//volatility_additional_param
@@NEWHWGAMMA@@,NewCalibFile,//Model[Name='AUYieldCurve']//MarketPriceOfRisk|//Model[Name='AUYieldCurve']//market_price_of_risk
@@OLDCASH1_5@@,OutputFile,OldCash[1|1]
@@OLDCASH1_25@@,OutputFile,OldCash[2|1]
@@OLDCASH1_50@@,OutputFile,OldCash[3|1]
@@OLDCASH1_75@@,OutputFile,OldCash[4|1]
@@OLDCASH1_95@@,OutputFile,OldCash[5|1]
@@OLDCASH1_MU@@,OutputFile,OldCash[6|1]
@@OLDCASH1_VOL@@,OutputFile,OldCash[7|1]
@@OLDCASH5_5@@,OutputFile,OldCash[1|5]
@@OLDCASH5_25@@,OutputFile,OldCash[2|5]
@@OLDCASH5_50@@,OutputFile,OldCash[3|5]
@@OLDCASH5_75@@,OutputFile,OldCash[4|5]
@@OLDCASH5_95@@,OutputFile,OldCash[5|5]
@@OLDCASH5_MU@@,OutputFile,OldCash[6|5]
@@OLDCASH5_VOL@@,OutputFile,OldCash[7|5]
@@OLDCASH10_5@@,OutputFile,OldCash[1|10]
@@OLDCASH10_25@@,OutputFile,OldCash[2|10]
@@OLDCASH10_50@@,OutputFile,OldCash[3|10]
@@OLDCASH10_75@@,OutputFile,OldCash[4|10]
@@OLDCASH10_95@@,OutputFile,OldCash[5|10]
@@OLDCASH10_MU@@,OutputFile,OldCash[6|10]
@@OLDCASH10_VOL@@,OutputFile,OldCash[7|10]
@@OLDCASH15_5@@,OutputFile,OldCash[1|15]
@@OLDCASH15_25@@,OutputFile,OldCash[2|15]
@@OLDCASH15_50@@,OutputFile,OldCash[3|15]
@@OLDCASH15_75@@,OutputFile,OldCash[4|15]
@@OLDCASH15_95@@,OutputFile,OldCash[5|15]
@@OLDCASH15_MU@@,OutputFile,OldCash[6|15]
@@OLDCASH15_VOL@@,OutputFile,OldCash[7|15]
@@OLDCASH25_5@@,OutputFile,OldCash[1|25]
@@OLDCASH25_25@@,OutputFile,OldCash[2|25]
@@OLDCASH25_50@@,OutputFile,OldCash[3|25]
